,Names,Files,Eligible
0,Adamant Creeper,1501,True
1,Alovera,1513,True
2,Betel,1500,True
3,Black-Honey Shrub,1517,True
4,Caster,1500,True
6,Cinnamon,1500,True
8,ginger,1501,True
9,Henna,1500,True
12,Indian acalypha,1500,True
13,indian Mallow,1500,True
14,ivy gourd,1500,True
15,Landrina,1500,True
18,long Pepper,1509,True
19,Miracle Leaf,1500,True
20,Mountain Knotgrass,1519,True
22,Oregano,1501,True
23,Pedalium murex,1500,True
24,Red Pea Eggplant,1535,True
25,Ringworm Plant,1601,True
26,Seeds under leaves,1501,True
28,tall perennial grass,1539,True
29,Thorn Apple,1500,True
30,turmeric,1501,True
31,Vitex negundo,1511,True
32,Wild Turmaric,1991,True
